date,new_cases,cumulative_cases
2021-03-01,63,63
2021-03-02,5,68
2021-03-03,10,78
2021-03-04,0,78
2021-03-05,6,84
2021-03-06,10,94
2021-03-07,2,96
2021-03-08,9,105
2021-03-09,0,105
2021-03-10,2,107
2021-03-11,3,110
2021-03-12,0,110
2021-03-13,7,117
2021-03-14,3,120
2021-03-15,8,128
2021-03-16,13,141
2021-03-17,13,154
2021-03-18,15,169
2021-03-19,9,178
2021-03-20,6,184
2021-03-21,11,195
2021-03-22,0,195
2021-03-23,0,195
2021-03-24,0,195
2021-03-25,2,197
2021-03-26,19,216
2021-03-27,7,223
2021-03-28,14,237
2021-03-29,29,266
2021-03-30,16,282
2021-03-31,26,308
2021-04-01,13,321
2021-04-02,20,341
2021-04-03,15,356
2021-04-04,22,378
2021-04-05,34,412
2021-04-06,13,425
2021-04-07,33,458
2021-04-08,34,492
2021-04-09,28,520
2021-04-10,22,542
2021-04-11,38,580
2021-04-12,34,614
2021-04-13,44,658
2021-04-14,44,702
2021-04-15,60,762
2021-04-16,47,809
2021-04-17,42,851
2021-04-18,56,907
2021-04-19,59,966
2021-04-20,73,1039
2021-04-21,71,1110
2021-04-22,71,1181
2021-04-23,84,1265
2021-04-24,63,1328
2021-04-25,73,1401
2021-04-26,74,1475
2021-04-27,83,1558
2021-04-28,78,1636
2021-04-29,101,1737
2021-04-30,98,1835
2021-05-01,91,1926
2021-05-02,101,2027
2021-05-03,117,2144
2021-05-04,128,2272
2021-05-05,143,2415
2021-05-06,157,2572
2021-05-07,140,2712
2021-05-08,133,2845
2021-05-09,129,2974
2021-05-10,156,3130
2021-05-11,153,3283
2021-05-12,162,3445
2021-05-13,166,3611
2021-05-14,177,3788
2021-05-15,194,3982
2021-05-16,191,4173
2021-05-17,195,4368
2021-05-18,193,4561
2021-05-19,192,4753
2021-05-20,209,4962
2021-05-21,219,5181
2021-05-22,240,5421
2021-05-23,230,5651
2021-05-24,243,5894
2021-05-25,234,6128
2021-05-26,232,6360
2021-05-27,238,6598
2021-05-28,243,6841
2021-05-29,273,7114
2021-05-30,248,7362
2021-05-31,266,7628
2021-06-01,252,7880
2021-06-02,270,8150
2021-06-03,266,8416
2021-06-04,261,8677
2021-06-05,263,8940
2021-06-06,256,9196
2021-06-07,266,9462
2021-06-08,256,9718
2021-06-09,247,9965
2021-06-10,244,10209
2021-06-11,255,10464
2021-06-12,264,10728
2021-06-13,248,10976
2021-06-14,242,11218
2021-06-15,241,11459
2021-06-16,245,11704
2021-06-17,232,11936
2021-06-18,220,12156
2021-06-19,229,12385
2021-06-20,217,12602
2021-06-21,222,12824
2021-06-22,203,13027
2021-06-23,185,13212
2021-06-24,178,13390
2021-06-25,199,13589
2021-06-26,194,13783
2021-06-27,170,13953
2021-06-28,162,14115
2021-06-29,173,14288
2021-06-30,144,14432
2021-07-01,140,14572
2021-07-02,148,14720
2021-07-03,133,14853
2021-07-04,131,14984
2021-07-05,124,15108
2021-07-06,123,15231
2021-07-07,127,15358
2021-07-08,110,15468
2021-07-09,111,15579
2021-07-10,81,15660
2021-07-11,95,15755
2021-07-12,83,15838
2021-07-13,76,15914
2021-07-14,74,15988
2021-07-15,75,16063
2021-07-16,83,16146
2021-07-17,59,16205
2021-07-18,67,16272
2021-07-19,59,16331
2021-07-20,58,16389
2021-07-21,66,16455
2021-07-22,59,16514
2021-07-23,64,16578
2021-07-24,47,16625
2021-07-25,40,16665
2021-07-26,42,16707
2021-07-27,44,16751
2021-07-28,41,16792
