district,lat,lon,population_k,province,confirmed,active,recovered,deaths,case_rate_per_1000,risk_level
Colombo,6.9271,79.8612,2324,Western,3652,616,3017,19,1.57,High
Gampaha,7.0917,79.9995,2348,Western,2636,507,2111,18,1.12,High
Kalutara,6.5854,79.9607,1221,Western,2057,192,1856,9,1.68,High
Kandy,7.2906,80.6337,1418,Central,2083,227,1846,10,1.47,High
Matale,7.4675,80.6234,484,Central,123,12,110,1,0.25,Low
Nuwara Eliya,6.9497,80.7891,711,Central,504,46,454,4,0.71,High
Galle,6.0535,80.221,1063,Southern,635,83,546,6,0.6,Medium
Matara,5.9549,80.555,814,Southern,497,60,434,3,0.61,Medium
Hambantota,6.1241,81.1185,599,Southern,163,29,133,1,0.27,Low
Jaffna,9.6615,80.0255,583,Northern,255,45,208,2,0.44,Low
Kilinochchi,9.3803,80.377,113,Northern,45,5,40,0,0.4,Low
Mannar,8.981,79.9044,99,Northern,68,9,59,0,0.69,High
Vavuniya,8.7514,80.4971,172,Northern,92,11,80,1,0.53,Low
Mullaitivu,9.267,80.8142,92,Northern,58,6,52,0,0.63,Medium
Batticaloa,7.717,81.7,526,Eastern,228,25,201,2,0.43,Low
Ampara,7.2975,81.6747,649,Eastern,210,26,183,1,0.32,Low
Trincomalee,8.5711,81.2335,379,Eastern,186,22,162,2,0.49,Low
Kurunegala,7.4863,80.3623,1618,North Western,1004,153,843,8,0.62,Medium
Puttalam,8.0362,79.8283,762,North Western,482,91,388,3,0.63,Medium
Anuradhapura,8.3114,80.4037,860,North Central,457,61,392,4,0.53,Low
Polonnaruwa,7.9403,81.0188,406,North Central,242,40,200,2,0.6,Medium
Badulla,6.9934,81.055,815,Uva,317,45,270,2,0.39,Low
Monaragala,6.8714,81.3507,451,Uva,318,26,290,2,0.71,High
Ratnapura,6.6828,80.3992,1088,Sabaragamuwa,724,117,601,6,0.67,Medium
Kegalle,7.2513,80.3464,814,Sabaragamuwa,494,93,399,2,0.61,Medium
