date,first_dose_pct,second_dose_pct,booster_pct
2021-03-01,2.9,1.2,0.1
2021-03-02,3.1,1.3,0.1
2021-03-03,3.2,1.3,0.1
2021-03-04,3.4,1.4,0.2
2021-03-05,3.6,1.5,0.2
2021-03-06,3.7,1.5,0.2
2021-03-07,3.9,1.6,0.2
2021-03-08,4.1,1.7,0.2
2021-03-09,4.3,1.8,0.2
2021-03-10,4.5,1.8,0.2
2021-03-11,4.7,1.9,0.2
2021-03-12,5.0,2.0,0.2
2021-03-13,5.2,2.1,0.2
2021-03-14,5.5,2.2,0.3
2021-03-15,5.7,2.3,0.3
2021-03-16,6.0,2.4,0.3
2021-03-17,6.3,2.5,0.3
2021-03-18,6.6,2.6,0.3
2021-03-19,6.9,2.7,0.3
2021-03-20,7.2,2.9,0.3
2021-03-21,7.6,3.0,0.4
2021-03-22,7.9,3.1,0.4
2021-03-23,8.3,3.2,0.4
2021-03-24,8.7,3.4,0.4
2021-03-25,9.1,3.5,0.4
2021-03-26,9.5,3.7,0.5
2021-03-27,10.0,3.9,0.5
2021-03-28,10.4,4.0,0.5
2021-03-29,10.9,4.2,0.5
2021-03-30,11.4,4.4,0.6
2021-03-31,11.9,4.6,0.6
2021-04-01,12.5,4.8,0.6
2021-04-02,13.0,5.0,0.7
2021-04-03,13.6,5.2,0.7
2021-04-04,14.2,5.4,0.7
2021-04-05,14.8,5.7,0.8
2021-04-06,15.4,5.9,0.8
2021-04-07,16.1,6.2,0.8
2021-04-08,16.8,6.4,0.9
2021-04-09,17.5,6.7,0.9
2021-04-10,18.2,7.0,1.0
2021-04-11,19.0,7.3,1.0
2021-04-12,19.8,7.6,1.1
2021-04-13,20.6,7.9,1.1
2021-04-14,21.4,8.2,1.2
2021-04-15,22.3,8.6,1.3
2021-04-16,23.1,8.9,1.3
2021-04-17,24.0,9.3,1.4
2021-04-18,25.0,9.7,1.5
2021-04-19,25.9,10.1,1.5
2021-04-20,26.9,10.5,1.6
2021-04-21,27.9,10.9,1.7
2021-04-22,28.9,11.4,1.8
2021-04-23,29.9,11.8,1.9
2021-04-24,31.0,12.3,2.0
2021-04-25,32.1,12.8,2.1
2021-04-26,33.2,13.3,2.2
2021-04-27,34.3,13.8,2.3
2021-04-28,35.4,14.3,2.4
2021-04-29,36.6,14.9,2.5
2021-04-30,37.8,15.4,2.6
2021-05-01,38.9,16.0,2.7
2021-05-02,40.1,16.6,2.9
2021-05-03,41.3,17.2,3.0
2021-05-04,42.6,17.9,3.2
2021-05-05,43.8,18.5,3.3
2021-05-06,45.0,19.2,3.5
2021-05-07,46.3,19.9,3.7
2021-05-08,47.5,20.6,3.8
2021-05-09,48.8,21.3,4.0
2021-05-10,50.0,22.1,4.2
2021-05-11,51.2,22.8,4.4
2021-05-12,52.5,23.6,4.6
2021-05-13,53.7,24.4,4.8
2021-05-14,55.0,25.2,5.1
2021-05-15,56.2,26.0,5.3
2021-05-16,57.4,26.9,5.6
2021-05-17,58.7,27.7,5.8
2021-05-18,59.9,28.6,6.1
2021-05-19,61.1,29.5,6.4
2021-05-20,62.2,30.4,6.7
2021-05-21,63.4,31.3,7.0
2021-05-22,64.6,32.2,7.3
2021-05-23,65.7,33.1,7.6
2021-05-24,66.8,34.1,8.0
2021-05-25,67.9,35.0,8.3
2021-05-26,69.0,36.0,8.7
